Tag	PUBMED_Paper_Link	Pheno_File	Source_File	Portal	Consortium	Link	Notes	Header	Hidden	Keep	EFO	HPO	Description	Phenotype	Sample_Size	Population	Date	Declared_Effect_Allele	Genome_Reference	Binary	Cases	abbreviation	new_abbreviation	new_Phenotype	Category
UKB_1160_Sleep_duration	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	1160.assoc.tsv.gz	1160.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/00v10oxwku3u5yq/1160.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Sleep duration	337119	NA	NA	NA	NA	0	NA	U_SL	SLEEP_UKB	Sleep_Duration_UKB	Psychiatric_neurologic
UKB_1180_Morning_or_evening_person_chronotype	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	1180.assoc.tsv.gz	1180.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/z7cppp7ndmylpf0/1180.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Morning/evening person (chronotype)	337119	NA	NA	NA	NA	0	NA	U_CHR	CHRONO_UKB	Chronotype_UKB	Psychiatric_neurologic
UKB_1200_Sleeplessness_or_insomnia	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	1200.assoc.tsv.gz	1200.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/ugt1g44ycju9ms5/1200.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Sleeplessness / insomnia	337119	NA	NA	NA	NA	0	NA	U_NSL	INSOMN_UKB	Insomnia_UKB	Psychiatric_neurologic
UKB_1807_Fathers_age_at_death	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	1807.assoc.tsv.gz	1807.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/qftvyi5a9qkb5xw/1807.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Father's age at death	337119	NA	NA	NA	NA	0	NA	U_FAD	FAD_UKB	Fathers_Age_At_Death_UKB	Aging
UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	20002_1094.assoc.tsv.gz	20002_1094.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/0smh60npg2eihqv/20002_1094.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Non-cancer illness code, self-reported: deep venous thrombosis (dvt)	337119	NA	NA	NA	NA	1	6767	UN_DVT	DVT_UKBS	Deep_Venous_Thrombosis_UKBS	Cardiometabolic
UKB_20002_1111_self_reported_asthma	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	20002_1111.assoc.tsv.gz	20002_1111.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/fd8e27ds4vuxj6l/20002_1111.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Non-cancer illness code, self-reported: asthma	337119	NA	NA	NA	NA	1	39049	UN_AS	ATH_UKBS	Asthma_UKBS	Allergy
UKB_20002_1154_self_reported_irritable_bowel_syndrome	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	20002_1154.assoc.tsv.gz	20002_1154.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/p70cilcudfww9y1/20002_1154.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Non-cancer illness code, self-reported: irritable bowel syndrome	337119	NA	NA	NA	NA	1	8030	UN_IBS	IBS_UKBS	Irritable_Bowel_Syndrome_UKBS	Digestive system disease
UKB_20002_1222_self_reported_type_1_diabetes	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	20002_1222.assoc.tsv.gz	20002_1222.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/qdouyjozmguv5c4/20002_1222.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Non-cancer illness code, self-reported: type 1 diabetes	337119	NA	NA	NA	NA	1	286	UN_T1D	T1D_UKBS	Type_1_Diabetes_UKBS	Immune
UKB_20002_1223_self_reported_type_2_diabetes	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	20002_1223.assoc.tsv.gz	20002_1223.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/7jrmk2sa9kcs7jr/20002_1223.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Non-cancer illness code, self-reported: type 2 diabetes	337119	NA	NA	NA	NA	1	2133	UN_T2D	T2D_UKBS	Type_2_Diabetes_UKBS	Cardiometabolic
UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41202	20002_1225.assoc.tsv.gz	20002_1225.assoc.tsv.gz	http://biobank.ctsu.ox.ac.uk/	UK Biobank	https://www.dropbox.com/s/yd5g6p6lsce5iwa/20002_1225.assoc.tsv.gz?dl=0	NA	NA	NA	Yes	NA	NA	NA	Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis	337119	NA	NA	NA	NA	1	2547	UN_HT	HYPERTHY_UKBS	Hyperthyroidism_UKBS	Endocrine system disease
