Cell/Tissue_type	eQTL_trait
Adipose/Fat	FUSION_ge_adipose_naive
Adipose/Fat	TwinsUK_ge_fat
Blood	Schmiedel_2018_ge_B-cell_naive
Brain	Braineac2_ge_putamen
Brain	Braineac2_ge_substantia_nigra
Brain	BrainSeq_ge_brain
Brain	CommonMind_ge_DLPFC_naive
Brain	ROSMAP_ge_brain_naive
Brain	Schwartzentruber_2018_ge_sensory_neuron
Brain	Young_2019_ge_microglia_naive
Cartilage/Synovium	Steinberg_2020_ge_high_grade_cartilage_naive
Cartilage/Synovium	Steinberg_2020_ge_low_grade_cartilage_naive
Cartilage/Synovium	Steinberg_2020_ge_synovium_naive
HLC	PhLiPS_ge_HLC
iPSC	i2QTL
iPSC	HipSci_ge_iPSC
iPSC	iPSCORE_ge_iPSC
iPSC	PhLiPS_ge_iPSC
LCL	CAP_ge_LCL_naive
LCL	CAP_ge_LCL_statin
LCL	GENCORD_ge_LCL
LCL	GEUVADIS_ge_LCL
LCL	TwinsUK_ge_LCL
Blood	Alasoo_2018_ge_macrophage_IFNg
Blood	Alasoo_2018_ge_macrophage_IFNg+Salmonella
Blood	Alasoo_2018_ge_macrophage_naive
Blood	Alasoo_2018_ge_macrophage_Salmonella
Blood	Nedelec_2016_ge_macrophage_Listeria
Blood	Nedelec_2016_ge_macrophage_naive
Blood	Nedelec_2016_ge_macrophage_Salmonella
Blood	BLUEPRINT_ge_monocyte
Blood	Quach_2016_ge_monocyte_IAV
Blood	Quach_2016_ge_monocyte_LPS
Blood	Quach_2016_ge_monocyte_naive
Blood	Quach_2016_ge_monocyte_Pam3CSK4
Blood	Quach_2016_ge_monocyte_R848
Blood	Schmiedel_2018_ge_monocyte_CD16_naive
Blood	Schmiedel_2018_ge_monocyte_naive
Muscle	FUSION_ge_muscle_naive
Fibroblast	GENCORD_ge_fibroblast
Blood	BLUEPRINT_ge_neutrophil
Blood	Schmiedel_2018_ge_NK-cell_naive
PancreaticIsland	van_de_Bunt_2015_ge_pancreatic_islet
DecidualPlacenta	Peng_2018_ge_placenta_naive
Skin	TwinsUK_ge_skin
Blood	BLUEPRINT_ge_T-cell
Blood	GENCORD_ge_T-cell
Blood	Schmiedel_2018_ge_CD4_T-cell_anti-CD3-CD28
Blood	Schmiedel_2018_ge_CD4_T-cell_naive
Blood	Schmiedel_2018_ge_CD8_T-cell_anti-CD3-CD28
Blood	Schmiedel_2018_ge_CD8_T-cell_naive
Blood	Schmiedel_2018_ge_Tfh_memory
Blood	Schmiedel_2018_ge_Th1-17_memory
Blood	Schmiedel_2018_ge_Th17_memory
Blood	Schmiedel_2018_ge_Th1_memory
Blood	Schmiedel_2018_ge_Th2_memory
Blood	Schmiedel_2018_ge_Treg_memory
Blood	Schmiedel_2018_ge_Treg_naive
Blood	Lepik_2017_ge_blood
Blood	TwinsUK_ge_blood
