GWAS	GWAS_region	eQTLs	mQTL_top_coloc_Tissue	mQTL_top_coloc_cpg	mQTLs
Astle_et_al_2016_Eosinophil_counts	region1007	TRUE	MuscleSkeletal	cg14119001	TRUE
Astle_et_al_2016_Eosinophil_counts	region1010	TRUE	ColonTransverse	cg15035424	TRUE
Astle_et_al_2016_Eosinophil_counts	region1027	TRUE	Lung	cg16492341	TRUE
Astle_et_al_2016_Eosinophil_counts	region1067	TRUE	Lung	cg16508068	TRUE
Astle_et_al_2016_Eosinophil_counts	region1127	TRUE	Lung	cg27386326	TRUE
Astle_et_al_2016_Eosinophil_counts	region1430	TRUE	Lung	cg00401552	TRUE
Astle_et_al_2016_Eosinophil_counts	region1451	TRUE	ColonTransverse	cg26452476	TRUE
Astle_et_al_2016_Eosinophil_counts	region1463	TRUE	KidneyCortex	cg05434147	TRUE
Astle_et_al_2016_Eosinophil_counts	region1523	TRUE	WholeBlood	cg23891399	TRUE
Astle_et_al_2016_Eosinophil_counts	region1578	TRUE	Ovary	cg14654158	TRUE
Astle_et_al_2016_Eosinophil_counts	region1607	TRUE	Lung	cg20198684	TRUE
Astle_et_al_2016_Eosinophil_counts	region1608	TRUE	Lung	cg02505812	TRUE
Astle_et_al_2016_Eosinophil_counts	region1628	TRUE	Lung	cg13177873	TRUE
Astle_et_al_2016_Eosinophil_counts	region1667	TRUE	ColonTransverse	cg18374181	TRUE
Astle_et_al_2016_Eosinophil_counts	region1688	TRUE	WholeBlood	cg24989447	TRUE
Astle_et_al_2016_Eosinophil_counts	region185	TRUE	Lung	cg02493740	TRUE
Astle_et_al_2016_Eosinophil_counts	region25	TRUE	Lung	cg16685388	TRUE
Astle_et_al_2016_Eosinophil_counts	region278	TRUE	Lung	cg21594961	TRUE
Astle_et_al_2016_Eosinophil_counts	region394	TRUE	ColonTransverse	cg04226276	TRUE
Astle_et_al_2016_Eosinophil_counts	region5	TRUE	Lung	cg19465883	TRUE
Astle_et_al_2016_Eosinophil_counts	region584	TRUE	Lung	cg11809897	TRUE
Astle_et_al_2016_Eosinophil_counts	region606	TRUE	ColonTransverse	cg15170512	TRUE
Astle_et_al_2016_Eosinophil_counts	region625	TRUE	ColonTransverse	cg14643075	TRUE
Astle_et_al_2016_Eosinophil_counts	region657	TRUE	Lung	cg07679836	TRUE
Astle_et_al_2016_Eosinophil_counts	region761	TRUE	Prostate	cg05265849	TRUE
Astle_et_al_2016_Eosinophil_counts	region819	TRUE	Lung	cg12816198	TRUE
Astle_et_al_2016_Granulocyte_count	region1007	TRUE	Ovary	cg14119001	TRUE
Astle_et_al_2016_Granulocyte_count	region1028	TRUE	Lung	cg11671940	TRUE
Astle_et_al_2016_Granulocyte_count	region1064	TRUE	Lung	cg12555086	TRUE
Astle_et_al_2016_Granulocyte_count	region1070	TRUE	Ovary	cg15922692	TRUE
Astle_et_al_2016_Granulocyte_count	region1127	TRUE	Lung	cg27386326	TRUE
Astle_et_al_2016_Granulocyte_count	region116	TRUE	Lung	cg13088465	TRUE
Astle_et_al_2016_Granulocyte_count	region1357	TRUE	ColonTransverse	cg22395913	TRUE
Astle_et_al_2016_Granulocyte_count	region1427	TRUE	ColonTransverse	cg24390590	TRUE
Astle_et_al_2016_Granulocyte_count	region1430	TRUE	ColonTransverse	cg18856952	TRUE
Astle_et_al_2016_Granulocyte_count	region1487	TRUE	Lung	cg05164926	TRUE
Astle_et_al_2016_Granulocyte_count	region1504	TRUE	Prostate	cg07427276	TRUE
Astle_et_al_2016_Granulocyte_count	region1523	TRUE	ColonTransverse	cg04488553	TRUE
Astle_et_al_2016_Granulocyte_count	region1540	TRUE	Ovary	cg21243631	TRUE
Astle_et_al_2016_Granulocyte_count	region1591	TRUE	Prostate	cg01419561	TRUE
Astle_et_al_2016_Granulocyte_count	region1606	TRUE	WholeBlood	cg13362288	TRUE
Astle_et_al_2016_Granulocyte_count	region1607	TRUE	ColonTransverse	cg06112816	TRUE
Astle_et_al_2016_Granulocyte_count	region1609	TRUE	ColonTransverse	cg02314012	TRUE
Astle_et_al_2016_Granulocyte_count	region1671	TRUE	BreastMammaryTissue	cg25269340	TRUE
Astle_et_al_2016_Granulocyte_count	region173	TRUE	Ovary	cg09633306	TRUE
Astle_et_al_2016_Granulocyte_count	region18	TRUE	Lung	cg21604615	TRUE
Astle_et_al_2016_Granulocyte_count	region233	TRUE	Lung	cg14465028	TRUE
Astle_et_al_2016_Granulocyte_count	region271	TRUE	MuscleSkeletal	cg13994823	TRUE
Astle_et_al_2016_Granulocyte_count	region387	TRUE	Lung	cg16634134	TRUE
Astle_et_al_2016_Granulocyte_count	region399	TRUE	Ovary	cg14024328	TRUE
Astle_et_al_2016_Granulocyte_count	region561	TRUE	ColonTransverse	cg14449803	TRUE
Astle_et_al_2016_Granulocyte_count	region598	TRUE	Lung	cg15738769	TRUE
Astle_et_al_2016_Granulocyte_count	region603	TRUE	Lung	cg07392085	TRUE
Astle_et_al_2016_Granulocyte_count	region606	TRUE	Lung	cg15170512	TRUE
Astle_et_al_2016_Granulocyte_count	region642	TRUE	Lung	cg19563049	TRUE
Astle_et_al_2016_Granulocyte_count	region653	TRUE	ColonTransverse	cg17093638	TRUE
Astle_et_al_2016_Granulocyte_count	region66	TRUE	Ovary	cg04773602	TRUE
Astle_et_al_2016_Granulocyte_count	region851	TRUE	Prostate	cg15964874	TRUE
Astle_et_al_2016_Granulocyte_count	region864	TRUE	Lung	cg14190628	TRUE
Astle_et_al_2016_Granulocyte_count	region932	TRUE	MuscleSkeletal	cg06946901	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1059	TRUE	MuscleSkeletal	cg08514558	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1129	TRUE	Lung	cg26668713	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1164	TRUE	Ovary	cg20354450	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1376	TRUE	Ovary	cg15588783	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1476	TRUE	WholeBlood	cg07647771	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1480	TRUE	ColonTransverse	cg06007201	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1498	TRUE	WholeBlood	cg22902669	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1500	TRUE	Lung	cg06238679	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1526	TRUE	ColonTransverse	cg23750729	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region154	TRUE	KidneyCortex	cg22194548	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1701	TRUE	WholeBlood	cg12969734	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region197	TRUE	Ovary	cg24576985	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region310	TRUE	Lung	cg16564822	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region395	TRUE	Lung	cg06379671	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region549	TRUE	Ovary	cg16619991	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region635	TRUE	ColonTransverse	cg15272433	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region642	TRUE	ColonTransverse	cg24201109	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region717	TRUE	Lung	cg10097215	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region73	TRUE	Lung	cg14934702	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region765	TRUE	Lung	cg12999366	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region788	TRUE	Lung	cg23983315	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region855	TRUE	Lung	cg00856667	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region932	TRUE	WholeBlood	cg04685302	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1008	TRUE	Prostate	cg11709766	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1015	TRUE	ColonTransverse	cg05665775	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1027	TRUE	Lung	cg10331073	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1040	TRUE	ColonTransverse	cg06996956	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1054	TRUE	Ovary	cg05532178	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1122	TRUE	Lung	cg14815299	TRUE
Astle_et_al_2016_Lymphocyte_counts	region115	TRUE	Ovary	cg13305444	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1184	TRUE	ColonTransverse	cg17093522	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1189	TRUE	Lung	cg09462578	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1207	TRUE	ColonTransverse	cg05154234	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1252	TRUE	ColonTransverse	cg05915139	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1280	TRUE	Lung	cg20293942	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1330	TRUE	Testis	cg14044930	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1419	TRUE	MuscleSkeletal	cg04176472	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1431	TRUE	Lung	cg23686092	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1485	TRUE	Ovary	cg07825272	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1497	TRUE	Lung	cg11465639	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1503	TRUE	ColonTransverse	cg04956254	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1524	TRUE	ColonTransverse	cg07892181	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1606	TRUE	Prostate	cg08581076	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1611	TRUE	Lung	cg02400211	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1649	TRUE	Lung	cg12058843	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1655	TRUE	Prostate	cg17164249	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1677	TRUE	Lung	cg02270337	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1687	TRUE	Lung	cg00310014	TRUE
Astle_et_al_2016_Lymphocyte_counts	region361	TRUE	ColonTransverse	cg10394922	TRUE
Astle_et_al_2016_Lymphocyte_counts	region469	TRUE	KidneyCortex	cg09451574	TRUE
Astle_et_al_2016_Lymphocyte_counts	region5	TRUE	ColonTransverse	cg01447281	TRUE
Astle_et_al_2016_Lymphocyte_counts	region597	TRUE	ColonTransverse	cg25462716	TRUE
Astle_et_al_2016_Lymphocyte_counts	region598	TRUE	ColonTransverse	cg19734164	TRUE
Astle_et_al_2016_Lymphocyte_counts	region854	TRUE	ColonTransverse	cg20301063	TRUE
Astle_et_al_2016_Lymphocyte_counts	region897	TRUE	ColonTransverse	cg09871101	TRUE
Astle_et_al_2016_Lymphocyte_counts	region924	TRUE	ColonTransverse	cg13362653	TRUE
Astle_et_al_2016_Lymphocyte_counts	region961	TRUE	ColonTransverse	cg14200350	TRUE
Astle_et_al_2016_Lymphocyte_counts	region996	TRUE	Lung	cg04267093	TRUE
Astle_et_al_2016_Monocyte_count	region1004	TRUE	Lung	cg21160290	TRUE
Astle_et_al_2016_Monocyte_count	region104	TRUE	WholeBlood	cg07157834	TRUE
Astle_et_al_2016_Monocyte_count	region1050	TRUE	Lung	cg06417611	TRUE
