GWAS	GWAS_region	eQTLs	mQTL_top_coloc_Tissue	mQTL_top_coloc_cpg	mQTLs
Astle_et_al_2016_Eosinophil_counts	region1004	FALSE	MuscleSkeletal	cg12622986	TRUE
Astle_et_al_2016_Eosinophil_counts	region1028	FALSE	ColonTransverse	cg01418086	TRUE
Astle_et_al_2016_Eosinophil_counts	region1050	FALSE	Prostate	cg13823492	TRUE
Astle_et_al_2016_Eosinophil_counts	region1129	FALSE	ColonTransverse	cg19082662	TRUE
Astle_et_al_2016_Eosinophil_counts	region1243	FALSE	MuscleSkeletal	cg23599850	TRUE
Astle_et_al_2016_Eosinophil_counts	region1251	FALSE	Ovary	cg18971251	TRUE
Astle_et_al_2016_Eosinophil_counts	region1280	FALSE	Ovary	cg20541527	TRUE
Astle_et_al_2016_Eosinophil_counts	region1330	FALSE	ColonTransverse	cg04177945	TRUE
Astle_et_al_2016_Eosinophil_counts	region1331	FALSE	Lung	cg07200410	TRUE
Astle_et_al_2016_Eosinophil_counts	region1355	FALSE	Ovary	cg21048162	TRUE
Astle_et_al_2016_Eosinophil_counts	region1367	FALSE	BreastMammaryTissue	cg13225565	TRUE
Astle_et_al_2016_Eosinophil_counts	region137	FALSE	Lung	cg06702484	TRUE
Astle_et_al_2016_Eosinophil_counts	region1375	FALSE	ColonTransverse	cg24329397	TRUE
Astle_et_al_2016_Eosinophil_counts	region1480	FALSE	Ovary	cg07598385	TRUE
Astle_et_al_2016_Eosinophil_counts	region1488	FALSE	MuscleSkeletal	cg03017104	TRUE
Astle_et_al_2016_Eosinophil_counts	region1509	FALSE	Lung	cg17474630	TRUE
Astle_et_al_2016_Eosinophil_counts	region1610	FALSE	Lung	cg01284415	TRUE
Astle_et_al_2016_Eosinophil_counts	region173	FALSE	Lung	cg03932406	TRUE
Astle_et_al_2016_Eosinophil_counts	region268	FALSE	ColonTransverse	cg12429610	TRUE
Astle_et_al_2016_Eosinophil_counts	region275	FALSE	Lung	cg02698622	TRUE
Astle_et_al_2016_Eosinophil_counts	region283	FALSE	Ovary	cg19275895	TRUE
Astle_et_al_2016_Eosinophil_counts	region310	FALSE	BreastMammaryTissue	cg07302471	TRUE
Astle_et_al_2016_Eosinophil_counts	region390	FALSE	ColonTransverse	cg07196133	TRUE
Astle_et_al_2016_Eosinophil_counts	region40	FALSE	WholeBlood	cg23518166	TRUE
Astle_et_al_2016_Eosinophil_counts	region6	FALSE	Lung	cg26573321	TRUE
Astle_et_al_2016_Eosinophil_counts	region652	FALSE	MuscleSkeletal	cg08022281	TRUE
Astle_et_al_2016_Eosinophil_counts	region718	FALSE	KidneyCortex	cg06381319	TRUE
Astle_et_al_2016_Eosinophil_counts	region797	FALSE	ColonTransverse	cg22175513	TRUE
Astle_et_al_2016_Eosinophil_counts	region864	FALSE	Lung	cg26189139	TRUE
Astle_et_al_2016_Eosinophil_counts	region879	FALSE	Lung	cg25661026	TRUE
Astle_et_al_2016_Eosinophil_counts	region924	FALSE	Lung	cg01765152	TRUE
Astle_et_al_2016_Eosinophil_counts	region99	FALSE	Lung	cg03425860	TRUE
Astle_et_al_2016_Eosinophil_counts	region112	FALSE	Lung	cg07722657	TRUE
Astle_et_al_2016_Eosinophil_counts	region1172	FALSE	ColonTransverse	cg02249088	TRUE
Astle_et_al_2016_Eosinophil_counts	region1173	FALSE	Ovary	cg01301654	TRUE
Astle_et_al_2016_Eosinophil_counts	region1181	FALSE	Lung	cg12226293	TRUE
Astle_et_al_2016_Eosinophil_counts	region1274	FALSE	ColonTransverse	cg11807844	TRUE
Astle_et_al_2016_Eosinophil_counts	region1438	FALSE	KidneyCortex	cg04616529	TRUE
Astle_et_al_2016_Eosinophil_counts	region1477	FALSE	Lung	cg16701852	TRUE
Astle_et_al_2016_Eosinophil_counts	region1602	FALSE	ColonTransverse	cg23999224	TRUE
Astle_et_al_2016_Eosinophil_counts	region188	FALSE	Ovary	cg03371770	TRUE
Astle_et_al_2016_Eosinophil_counts	region266	FALSE	Lung	cg05259225	TRUE
Astle_et_al_2016_Eosinophil_counts	region344	FALSE	Lung	cg07681748	TRUE
Astle_et_al_2016_Eosinophil_counts	region379	FALSE	Ovary	cg14222479	TRUE
Astle_et_al_2016_Eosinophil_counts	region396	FALSE	Prostate	cg01040960	TRUE
Astle_et_al_2016_Eosinophil_counts	region690	FALSE	Lung	cg18477569	TRUE
Astle_et_al_2016_Eosinophil_counts	region810	FALSE	Lung	cg19952163	TRUE
Astle_et_al_2016_Eosinophil_counts	region82	FALSE	Lung	cg13739406	TRUE
Astle_et_al_2016_Eosinophil_counts	region833	FALSE	WholeBlood	cg03980205	TRUE
Astle_et_al_2016_Eosinophil_counts	region939	FALSE	Lung	cg14182974	TRUE
Astle_et_al_2016_Granulocyte_count	region1059	FALSE	Lung	cg13574913	TRUE
Astle_et_al_2016_Granulocyte_count	region131	FALSE	Ovary	cg05615449	TRUE
Astle_et_al_2016_Granulocyte_count	region1367	FALSE	BreastMammaryTissue	cg13225565	TRUE
Astle_et_al_2016_Granulocyte_count	region1451	FALSE	Ovary	cg24033122	TRUE
Astle_et_al_2016_Granulocyte_count	region1476	FALSE	Lung	cg19089810	TRUE
Astle_et_al_2016_Granulocyte_count	region1483	FALSE	Lung	cg06349515	TRUE
Astle_et_al_2016_Granulocyte_count	region1488	FALSE	MuscleSkeletal	cg03017104	TRUE
Astle_et_al_2016_Granulocyte_count	region1495	FALSE	Lung	cg16375691	TRUE
Astle_et_al_2016_Granulocyte_count	region1503	FALSE	WholeBlood	cg02129597	TRUE
Astle_et_al_2016_Granulocyte_count	region1506	FALSE	BreastMammaryTissue	cg23758822	TRUE
Astle_et_al_2016_Granulocyte_count	region1508	FALSE	Lung	cg10780632	TRUE
Astle_et_al_2016_Granulocyte_count	region1585	FALSE	ColonTransverse	cg15194935	TRUE
Astle_et_al_2016_Granulocyte_count	region167	FALSE	Lung	cg17320804	TRUE
Astle_et_al_2016_Granulocyte_count	region189	FALSE	ColonTransverse	cg17459174	TRUE
Astle_et_al_2016_Granulocyte_count	region197	FALSE	Ovary	cg07921649	TRUE
Astle_et_al_2016_Granulocyte_count	region437	FALSE	Lung	cg24862787	TRUE
Astle_et_al_2016_Granulocyte_count	region5	FALSE	WholeBlood	cg10211414	TRUE
Astle_et_al_2016_Granulocyte_count	region636	FALSE	Lung	cg09200468	TRUE
Astle_et_al_2016_Granulocyte_count	region654	FALSE	Lung	cg18221076	TRUE
Astle_et_al_2016_Granulocyte_count	region662	FALSE	ColonTransverse	cg02711899	TRUE
Astle_et_al_2016_Granulocyte_count	region718	FALSE	Ovary	cg17509516	TRUE
Astle_et_al_2016_Granulocyte_count	region797	FALSE	ColonTransverse	cg22175513	TRUE
Astle_et_al_2016_Granulocyte_count	region853	FALSE	Lung	cg16773768	TRUE
Astle_et_al_2016_Granulocyte_count	region855	FALSE	Prostate	cg21073927	TRUE
Astle_et_al_2016_Granulocyte_count	region1039	FALSE	Lung	cg09348985	TRUE
Astle_et_al_2016_Granulocyte_count	region1160	FALSE	WholeBlood	cg04049253	TRUE
Astle_et_al_2016_Granulocyte_count	region1173	FALSE	Ovary	cg14937617	TRUE
Astle_et_al_2016_Granulocyte_count	region1209	FALSE	Lung	cg21236262	TRUE
Astle_et_al_2016_Granulocyte_count	region122	FALSE	Lung	cg12303769	TRUE
Astle_et_al_2016_Granulocyte_count	region1477	FALSE	Ovary	cg07955474	TRUE
Astle_et_al_2016_Granulocyte_count	region1556	FALSE	Lung	cg06288539	TRUE
Astle_et_al_2016_Granulocyte_count	region436	FALSE	Lung	cg11717701	TRUE
Astle_et_al_2016_Granulocyte_count	region521	FALSE	ColonTransverse	cg25518571	TRUE
Astle_et_al_2016_Granulocyte_count	region644	FALSE	Ovary	cg15027533	TRUE
Astle_et_al_2016_Granulocyte_count	region732	FALSE	Ovary	cg01046905	TRUE
Astle_et_al_2016_Granulocyte_count	region776	FALSE	Lung	cg04778099	TRUE
Astle_et_al_2016_Granulocyte_count	region869	FALSE	Lung	cg21879841	TRUE
Astle_et_al_2016_Granulocyte_count	region883	FALSE	Lung	cg08894788	TRUE
Astle_et_al_2016_Granulocyte_count	region923	FALSE	Lung	cg07014292	TRUE
Astle_et_al_2016_Granulocyte_count	region925	FALSE	Ovary	cg17837330	TRUE
Astle_et_al_2016_Granulocyte_count	region935	FALSE	Lung	cg04713002	TRUE
Astle_et_al_2016_Granulocyte_count	region940	FALSE	Lung	cg08584037	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region104	FALSE	ColonTransverse	cg05271743	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1101	FALSE	Prostate	cg11976953	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1185	FALSE	Lung	cg03761649	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1212	FALSE	Ovary	cg13013807	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1251	FALSE	Lung	cg11025681	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1280	FALSE	ColonTransverse	cg26046255	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region137	FALSE	Prostate	cg09465463	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1375	FALSE	Prostate	cg01118348	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region146	FALSE	Lung	cg03554320	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1497	FALSE	Ovary	cg25054705	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1578	FALSE	Lung	cg27157575	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1610	FALSE	Lung	cg11236879	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1634	FALSE	Lung	cg13541101	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1687	FALSE	Lung	cg24013929	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region177	FALSE	Ovary	cg21277851	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region185	FALSE	Lung	cg04510355	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region552	FALSE	ColonTransverse	cg15001016	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region623	FALSE	Lung	cg10346658	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region652	FALSE	Lung	cg19022254	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region718	FALSE	Ovary	cg17258228	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region745	FALSE	BreastMammaryTissue	cg21229153	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region76	FALSE	Lung	cg21985470	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region851	FALSE	Ovary	cg23217680	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region979	FALSE	Ovary	cg18584881	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region99	FALSE	Lung	cg03425860	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1005	FALSE	WholeBlood	cg21243944	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1039	FALSE	Ovary	cg25074794	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1100	FALSE	Ovary	cg23500835	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1195	FALSE	Lung	cg00048149	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1277	FALSE	Lung	cg25709222	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1390	FALSE	Prostate	cg10505819	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1405	FALSE	Lung	cg02319972	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region147	FALSE	Lung	cg19696102	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1481	FALSE	Lung	cg09508490	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region150	FALSE	Ovary	cg01325299	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1507	FALSE	Prostate	cg09411728	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1618	FALSE	Lung	cg05432604	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region1664	FALSE	Lung	cg10905947	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region293	FALSE	Lung	cg14370568	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region495	FALSE	Ovary	cg02243630	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region610	FALSE	Lung	cg08893839	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region632	FALSE	Lung	cg22928768	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region721	FALSE	ColonTransverse	cg15402009	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region823	FALSE	MuscleSkeletal	cg17343922	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region829	FALSE	KidneyCortex	cg14460736	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region866	FALSE	Lung	cg13160058	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region893	FALSE	Ovary	cg08915632	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region918	FALSE	ColonTransverse	cg03431521	TRUE
Astle_et_al_2016_High_light_scatter_reticulocyte_count	region939	FALSE	Ovary	cg25397828	TRUE
Astle_et_al_2016_Lymphocyte_counts	region101	FALSE	Ovary	cg02156952	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1050	FALSE	Ovary	cg05802075	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1086	FALSE	Lung	cg24377826	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1164	FALSE	Lung	cg14105205	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1178	FALSE	Lung	cg23971638	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1321	FALSE	Ovary	cg04922286	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1355	FALSE	Lung	cg01624173	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1375	FALSE	Lung	cg07319276	TRUE
Astle_et_al_2016_Lymphocyte_counts	region145	FALSE	WholeBlood	cg08917208	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1451	FALSE	Lung	cg24033122	TRUE
Astle_et_al_2016_Lymphocyte_counts	region146	FALSE	Ovary	cg08621773	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1476	FALSE	Lung	cg19089810	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1486	FALSE	WholeBlood	cg16329304	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1496	FALSE	Lung	cg12244055	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1504	FALSE	Ovary	cg19468946	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1585	FALSE	ColonTransverse	cg20036207	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1609	FALSE	Lung	cg07338787	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1634	FALSE	MuscleSkeletal	cg13127741	TRUE
Astle_et_al_2016_Lymphocyte_counts	region1693	FALSE	Lung	cg27491208	TRUE
Astle_et_al_2016_Lymphocyte_counts	region198	FALSE	Lung	cg18869127	TRUE
Astle_et_al_2016_Lymphocyte_counts	region323	FALSE	Lung	cg15981626	TRUE
Astle_et_al_2016_Lymphocyte_counts	region468	FALSE	Lung	cg10269431	TRUE
Astle_et_al_2016_Lymphocyte_counts	region636	FALSE	Prostate	cg00267708	TRUE
Astle_et_al_2016_Lymphocyte_counts	region658	FALSE	Lung	cg19014730	TRUE
Astle_et_al_2016_Lymphocyte_counts	region661	FALSE	Ovary	cg22578433	TRUE
Astle_et_al_2016_Lymphocyte_counts	region718	FALSE	Ovary	cg17509516	TRUE
Astle_et_al_2016_Lymphocyte_counts	region746	FALSE	WholeBlood	cg19214707	TRUE
Astle_et_al_2016_Lymphocyte_counts	region761	FALSE	ColonTransverse	cg11626929	TRUE
Astle_et_al_2016_Lymphocyte_counts	region764	FALSE	Lung	cg11187739	TRUE
Astle_et_al_2016_Lymphocyte_counts	region78	FALSE	Lung	cg04436634	TRUE
Astle_et_al_2016_Lymphocyte_counts	region909	FALSE	Lung	cg10081803	TRUE
